1604742300000,460.21000000,461.90000000,458.94000000,461.80000000,9741.58247000,1604743199999,4485393.57447130,4070,5862.02935000,2698830.29232850,0
1604743200000,461.79000000,462.31000000,458.48000000,458.68000000,9837.96111000,1604744099999,4528577.77185940,4038,3876.17974000,1784753.93927380,0
1604744100000,458.67000000,460.69000000,458.47000000,460.46000000,6199.26596000,1604744999999,2848643.09890920,2855,3408.31407000,1566227.33964120,0
1604745000000,460.45000000,462.12000000,460.26000000,461.90000000,6847.54260000,1604745899999,3158382.03074500,2923,3246.05203000,1497060.13272460,0
1604745900000,461.90000000,462.72000000,460.33000000,461.78000000,7745.97796000,1604746799999,3576788.22764450,3345,3263.20120000,1506809.79803730,0
1604746800000,461.79000000,463.00000000,461.47000000,461.53000000,7968.18548000,1604747699999,3682950.84117610,3222,4827.10134000,2231524.92366460,0
1604747700000,461.51000000,461.51000000,459.84000000,461.26000000,7873.77200000,1604748599999,3627882.01879190,3192,3882.52853000,1788997.97093590,0
1604748600000,461.26000000,464.27000000,461.21000000,461.84000000,14958.94244000,1604749499999,6922778.44148480,5327,9023.12715000,4176421.71452620,0
1604749500000,461.80000000,463.00000000,460.11000000,462.67000000,10834.32645000,1604750399999,5001412.78234780,4557,5472.21168000,2526269.03903280,0
1604750400000,462.66000000,463.74000000,461.50000000,463.24000000,11187.00796000,1604751299999,5176119.77749890,4447,6246.23979000,2890289.55856360,0
1604751300000,463.24000000,465.16000000,462.64000000,464.29000000,15933.11889000,1604752199999,7398861.01552090,6498,9032.81695000,4194475.54181420,0
1604752200000,464.29000000,464.42000000,461.72000000,462.30000000,11159.60248000,1604753099999,5164660.50891540,5029,4666.04999000,2160011.75946490,0
1604753100000,462.30000000,463.31000000,461.11000000,461.51000000,11638.28312000,1604753999999,5376675.39985150,4979,7379.69515000,3409438.86321020,0
1604754000000,461.54000000,462.32000000,460.00000000,460.41000000,11649.81797000,1604754899999,5370451.60197360,4544,5237.21916000,2414914.26430720,0
1604754900000,460.41000000,461.94000000,459.00000000,459.73000000,13122.27170000,1604755799999,6045769.38499910,5732,5382.22024000,2479780.72342500,0
1604755800000,459.73000000,462.50000000,456.39000000,462.12000000,23736.71053000,1604756699999,10905738.49769800,9666,13432.14936000,6173228.02591090,0
1604756700000,462.12000000,464.48000000,461.38000000,463.65000000,16237.04520000,1604757599999,7525443.58368890,6839,8511.45009000,3944639.32980460,0
1604757600000,463.61000000,463.80000000,459.61000000,459.61000000,14330.35529000,1604758499999,6611617.03559710,5954,6427.96253000,2966367.97659350,0
1604758500000,459.62000000,460.45000000,457.05000000,460.17000000,22879.12032000,1604759399999,10494184.64492200,9403,12118.06543000,5559327.38267720,0
1604759400000,460.16000000,460.72000000,451.39000000,453.38000000,39464.16934000,1604760299999,17963115.77034210,13563,19610.72298000,8928901.87906230,0
1604760300000,453.37000000,454.60000000,445.24000000,446.60000000,62519.29548000,1604761199999,28123731.10174090,19537,35220.64451000,15852033.10692980,0
1604761200000,446.63000000,451.00000000,442.08000000,442.63000000,40899.30494000,1604762099999,18291668.71229570,16797,18604.00994000,8325262.98527870,0
1604762100000,442.63000000,447.00000000,438.20000000,445.82000000,58547.06320000,1604762999999,25906894.77548490,19656,29889.57690000,13233458.99188430,0
1604763000000,445.82000000,449.21000000,444.79000000,445.00000000,28976.59117000,1604763899999,12962656.79550190,10221,12289.49353000,5496928.75921910,0
1604763900000,445.00000000,448.24000000,444.29000000,447.88000000,15051.92991000,1604764799999,6726857.48237430,6309,8664.02713000,3872294.68861700,0
1604764800000,447.88000000,450.20000000,445.93000000,446.74000000,20583.36677000,1604765699999,9234078.00525740,8786,10420.76756000,4676088.09464110,0
1604765700000,446.74000000,446.93000000,440.00000000,445.68000000,35710.60644000,1604766599999,15851941.58391990,13581,16282.98288000,7228537.60900290,0
1604766600000,445.80000000,451.36000000,445.61000000,451.12000000,22463.40607000,1604767499999,10082909.21549240,10816,11894.74498000,5339226.00817080,0
1604767500000,451.13000000,454.29000000,450.54000000,453.38000000,21461.06934000,1604768399999,9719745.77554540,10088,9711.86167000,4398444.58595630,0
1604768400000,453.39000000,454.29000000,450.25000000,450.53000000,15548.23823000,1604769299999,7031158.79331770,6454,9211.07340000,4164949.27698250,0
1604769300000,450.54000000,452.75000000,449.39000000,451.31000000,12391.30473000,1604770199999,5588757.98145830,5593,6078.14303000,2742595.06322220,0
1604770200000,451.35000000,451.56000000,449.03000000,450.91000000,8269.39446000,1604771099999,3724513.77979750,3999,4031.05295000,1815617.35506160,0
1604771100000,450.92000000,450.97000000,446.41000000,446.74000000,14341.17754000,1604771999999,6426989.07840750,5982,7226.15284000,3238363.51494560,0
1604772000000,446.72000000,449.18000000,444.60000000,445.18000000,17558.11599000,1604772899999,7839651.45743930,7427,7303.75046000,3262478.63242140,0
1604772900000,445.17000000,446.66000000,442.50000000,444.26000000,16507.25555000,1604773799999,7335642.81013480,7834,7765.64363000,3451659.65235410,0
1604773800000,444.32000000,444.33000000,438.88000000,440.98000000,26252.91236000,1604774699999,11594534.05762360,10965,11385.26554000,5028589.01376600,0
